Energy [GeV],Xsec [pb]
70.0,1183900.0
90.0,1411400.0
180.0,2351100.0
50.0,853000.0
400.0,3310400.0
600.0,3795600.0
600.0,3727000.0
800.0,4032100.0
900.0,4007700.0
400.0,3329800.0
200.0,2466300.0
20.0,242080.0
400.0,3317900.0
90.0,1463700.0
50.0,621710.0
150.0,2084000.0
600.0,3780000.0
700.0,3940600.0
700.0,3869100.0
800.0,3927800.0
400.0,3355200.0
150.0,2092500.0
200.0,2477800.0
10.0,61118.0
300.0,2992800.0
1000.0,4192600.0
60.0,1023700.0
10.0,61631.0
30.0,452390.0
10.0,61781.0
600.0,3717900.0
200.0,2481200.0
180.0,2322300.0
800.0,4005300.0
1000.0,4194800.0
30.0,454500.0
150.0,2101100.0
10.0,61742.0
120.0,1824800.0
120.0,1825200.0
900.0,4122400.0
500.0,3524900.0
800.0,4021800.0
800.0,4062900.0
900.0,4117100.0
90.0,1461800.0
100.0,1590700.0
300.0,2998900.0
100.0,1596900.0
70.0,1188000.0
900.0,4109100.0
40.0,658120.0
40.0,577380.0
900.0,4124700.0
40.0,657170.0
120.0,1825600.0
70.0,1183400.0
40.0,636460.0
1000.0,4175800.0
500.0,3569100.0
50.0,850090.0
150.0,2099300.0
100.0,1601500.0
1000.0,4219400.0
100.0,1598600.0
400.0,3316700.0
400.0,3332900.0
70.0,1188100.0
600.0,3741500.0
70.0,1167800.0
120.0,1747000.0
70.0,1180800.0
400.0,3308900.0
60.0,1025700.0
600.0,3764700.0
40.0,658370.0
50.0,850970.0
180.0,2299500.0
500.0,3460500.0
70.0,1173000.0
400.0,3340100.0
40.0,650540.0
60.0,1017600.0
500.0,3575700.0
90.0,1436800.0
30.0,455860.0
50.0,843110.0
80.0,1238300.0
60.0,727160.0
900.0,4031700.0
200.0,2479200.0
800.0,4007100.0
200.0,2478100.0
100.0,1582000.0
180.0,2325900.0
100.0,1588900.0
600.0,3762500.0
30.0,450390.0
10.0,61742.0
180.0,2329900.0
60.0,966470.0
900.0,4124800.0
150.0,1102000.0
70.0,1186000.0
80.0,1317900.0
700.0,3885600.0
20.0,244710.0
200.0,2501100.0
40.0,654790.0
70.0,1184300.0
400.0,3353800.0
100.0,1599000.0
60.0,1026700.0
20.0,241020.0
150.0,2064900.0
60.0,568200.0
800.0,4023000.0
20.0,243680.0
300.0,2988300.0
70.0,1179100.0
400.0,3219700.0
100.0,1574600.0
120.0,1816200.0
10.0,61575.0
200.0,2465100.0
10.0,61322.0
300.0,3009100.0
120.0,1817300.0
90.0,1390400.0
300.0,2971600.0
90.0,1459300.0
20.0,235500.0
1000.0,4185200.0
180.0,2329100.0
50.0,851550.0
600.0,3734600.0
90.0,1462700.0
900.0,4115000.0
80.0,1333900.0
200.0,2497800.0
200.0,2497100.0
20.0,238260.0
300.0,3012100.0
30.0,452670.0
180.0,2338000.0
300.0,2966000.0
80.0,1332700.0
80.0,1164200.0
500.0,3587100.0
150.0,2111300.0
1000.0,4170900.0
1000.0,4209700.0
900.0,4098800.0
180.0,2288600.0
20.0,242440.0
90.0,1454800.0
10.0,61626.0
500.0,3575300.0
900.0,4131200.0
180.0,2331700.0
100.0,1578900.0
120.0,1826400.0
500.0,3517500.0
40.0,653180.0
800.0,3944000.0
200.0,2484100.0
20.0,211120.0
1000.0,4181100.0
90.0,1431200.0
180.0,2265400.0
600.0,3647200.0
600.0,3643100.0
120.0,1816100.0
100.0,1569800.0
300.0,3017900.0
50.0,485150.0
40.0,653630.0
50.0,836110.0
150.0,2075300.0
700.0,3838100.0
200.0,2483900.0
80.0,1326100.0
400.0,3347200.0
30.0,454990.0
500.0,3438800.0
700.0,3743100.0
20.0,176040.0
10.0,61521.0
600.0,3777800.0
900.0,4084900.0
1000.0,4200000.0
900.0,4137100.0
800.0,3990400.0
180.0,2350800.0
100.0,1594400.0
40.0,653250.0
400.0,3340300.0
80.0,1323700.0
90.0,1391300.0
180.0,2335700.0
150.0,2102800.0
1000.0,4214600.0
700.0,3937400.0
100.0,1304900.0
600.0,3775500.0
500.0,3537500.0
200.0,2457000.0
900.0,4142600.0
90.0,725050.0
50.0,820040.0
700.0,3909600.0
20.0,243310.0
400.0,3299700.0
60.0,1011600.0
70.0,1174600.0
70.0,1119400.0
1000.0,4149700.0
100.0,1556200.0
30.0,451970.0
200.0,2481500.0
600.0,3791100.0
700.0,3858100.0
700.0,3914300.0
120.0,1811900.0
30.0,455950.0
180.0,2358000.0
300.0,3005300.0
900.0,3951600.0
90.0,1473400.0
200.0,2489000.0
700.0,3710600.0
300.0,3018400.0
80.0,1331900.0
50.0,853690.0
50.0,841240.0
700.0,3863500.0
600.0,3785100.0
900.0,4144800.0
180.0,2347600.0
700.0,3863300.0
30.0,452800.0
10.0,61029.0
120.0,1817600.0
60.0,913440.0
700.0,3910900.0
150.0,2107000.0
70.0,1176700.0
80.0,1336500.0
90.0,1450600.0
80.0,789790.0
1000.0,4025500.0
800.0,4036600.0
60.0,1027600.0
120.0,1824300.0
180.0,2313900.0
600.0,3684700.0
30.0,452760.0
50.0,687780.0
120.0,1813100.0
500.0,3607100.0
400.0,3274700.0
800.0,3962500.0
90.0,1471000.0
700.0,3917100.0
150.0,2110400.0
20.0,242850.0
60.0,698650.0
500.0,3579600.0
70.0,1180800.0
90.0,1462300.0
900.0,4123900.0
60.0,1025200.0
80.0,1310500.0
90.0,1458400.0
500.0,3581300.0
150.0,2112300.0
600.0,3769700.0
40.0,660970.0
600.0,3793800.0
400.0,3338100.0
50.0,848190.0
60.0,1025300.0
90.0,1457000.0
30.0,451380.0
70.0,739450.0
10.0,61218.0
50.0,844380.0
40.0,632520.0
400.0,3334900.0
700.0,3903800.0
80.0,1216900.0
80.0,1320200.0
180.0,2311200.0
600.0,3756700.0
800.0,3969200.0
300.0,3002900.0
600.0,3795300.0
500.0,3591400.0
900.0,4121800.0
600.0,3737200.0
800.0,4022800.0
500.0,3572600.0
300.0,3012000.0
50.0,767660.0
20.0,242560.0
20.0,235900.0
50.0,848330.0
50.0,842050.0
80.0,1326400.0
120.0,1807700.0
1000.0,4169800.0
70.0,1181100.0
1000.0,4227300.0
800.0,3928000.0
400.0,3311700.0
70.0,1172000.0
500.0,3578100.0
40.0,655740.0
20.0,242070.0
50.0,852700.0
40.0,577140.0
120.0,1808000.0
180.0,2350900.0
90.0,1462300.0
80.0,1291900.0
10.0,60453.0
800.0,4005600.0
30.0,435190.0
400.0,2958100.0
40.0,659870.0
20.0,242850.0
900.0,4089600.0
500.0,3575000.0
500.0,3544000.0
900.0,4088700.0
200.0,2461100.0
700.0,3903600.0
300.0,2980100.0
400.0,3317800.0
90.0,1444000.0
80.0,1316700.0
80.0,1320800.0
50.0,847750.0
600.0,3603200.0
40.0,621500.0
80.0,1283100.0
70.0,1178900.0
800.0,3915500.0
300.0,2996900.0
600.0,3746100.0
900.0,4083600.0
200.0,2480700.0
700.0,3890300.0
120.0,1825300.0
10.0,61424.0
800.0,4060800.0
50.0,844880.0
200.0,2476600.0
200.0,2472100.0
200.0,2432400.0
20.0,243030.0
180.0,2337200.0
