Energy [GeV],Xsec [pb]
1000.0,4056200.0
200.0,2086200.0
150.0,2094400.0
700.0,3889900.0
200.0,2481600.0
1000.0,4205900.0
70.0,1185400.0
30.0,453070.0
900.0,4084900.0
30.0,440240.0
900.0,4075800.0
300.0,3000500.0
800.0,4022900.0
800.0,3969100.0
300.0,3013700.0
60.0,1019000.0
120.0,1805600.0
700.0,3878800.0
10.0,61539.0
700.0,3934200.0
1000.0,4104500.0
40.0,652870.0
1000.0,4188000.0
30.0,306000.0
300.0,2986000.0
10.0,61776.0
900.0,4076800.0
900.0,3989000.0
180.0,2338300.0
70.0,1169900.0
40.0,659510.0
10.0,54584.0
80.0,1330100.0
120.0,1819600.0
30.0,445780.0
300.0,2959400.0
400.0,3338100.0
40.0,657400.0
700.0,3880700.0
200.0,2476800.0
1000.0,3974600.0
900.0,4081900.0
400.0,3278000.0
70.0,1181600.0
500.0,3578500.0
80.0,1313800.0
800.0,4028200.0
90.0,1385900.0
40.0,647960.0
90.0,1471300.0
300.0,3027100.0
60.0,1020900.0
200.0,2489700.0
70.0,1156700.0
200.0,2493800.0
400.0,3328900.0
100.0,1387500.0
400.0,3343900.0
900.0,3965200.0
1000.0,4226800.0
10.0,61510.0
500.0,3593600.0
30.0,450970.0
100.0,1579000.0
800.0,3863800.0
120.0,1820400.0
150.0,2099800.0
500.0,3580500.0
80.0,1327000.0
400.0,3326500.0
60.0,1022000.0
70.0,1182100.0
100.0,1597000.0
500.0,3555700.0
180.0,2295800.0
120.0,1783500.0
100.0,1604200.0
900.0,4128800.0
300.0,2961000.0
1000.0,4166100.0
600.0,3716200.0
60.0,1022300.0
50.0,844700.0
20.0,242590.0
300.0,3014200.0
1000.0,4164200.0
1000.0,4181900.0
40.0,654640.0
100.0,1578600.0
70.0,1046500.0
90.0,1475300.0
100.0,1601200.0
90.0,1462400.0
400.0,3345200.0
90.0,1458600.0
300.0,3012400.0
10.0,61447.0
200.0,2489500.0
400.0,3342800.0
600.0,3731000.0
50.0,847080.0
800.0,3958100.0
40.0,653000.0
600.0,3764900.0
80.0,1329100.0
120.0,1804600.0
100.0,1598900.0
60.0,1018800.0
900.0,4090600.0
500.0,3559200.0
80.0,1340300.0
180.0,2331100.0
400.0,3328700.0
20.0,243470.0
900.0,4080100.0
600.0,3766200.0
150.0,2065100.0
500.0,3583600.0
180.0,2340300.0
20.0,242840.0
100.0,1579200.0
100.0,1522200.0
20.0,242050.0
90.0,1456900.0
150.0,2105400.0
60.0,986080.0
600.0,3733100.0
10.0,61579.0
40.0,656230.0
120.0,1810900.0
120.0,1779700.0
10.0,61682.0
700.0,3925600.0
900.0,4164500.0
700.0,3899000.0
900.0,4114600.0
180.0,2327700.0
150.0,2099100.0
1000.0,4210500.0
500.0,3578800.0
500.0,3572700.0
800.0,4021600.0
180.0,2341700.0
1000.0,4204300.0
1000.0,4166200.0
40.0,643950.0
70.0,1189000.0
300.0,2973100.0
120.0,1800200.0
800.0,4035400.0
20.0,243980.0
30.0,452620.0
1000.0,4201000.0
500.0,3548200.0
90.0,1464700.0
10.0,61385.0
180.0,2332300.0
600.0,3576300.0
70.0,1180300.0
70.0,1182100.0
40.0,642360.0
30.0,456200.0
400.0,3310900.0
70.0,1188800.0
600.0,3788300.0
80.0,1266700.0
80.0,1323700.0
20.0,240800.0
20.0,243060.0
20.0,243000.0
100.0,1584400.0
800.0,3884700.0
60.0,1026400.0
70.0,1191900.0
500.0,3570100.0
10.0,59598.0
600.0,3733900.0
50.0,834280.0
150.0,2093100.0
60.0,973000.0
150.0,2094100.0
180.0,1895200.0
70.0,1188500.0
100.0,1588200.0
600.0,3669300.0
20.0,243530.0
700.0,3925800.0
10.0,61786.0
80.0,1316800.0
90.0,1425600.0
120.0,1792700.0
40.0,643110.0
300.0,2975500.0
30.0,442750.0
90.0,1478800.0
400.0,3337100.0
900.0,4152100.0
20.0,239610.0
120.0,1802400.0
30.0,453020.0
50.0,844030.0
40.0,656770.0
400.0,3345600.0
10.0,61576.0
200.0,2440800.0
1000.0,4213100.0
300.0,3005300.0
800.0,4044000.0
50.0,848110.0
30.0,455910.0
120.0,1814800.0
200.0,2469600.0
40.0,632320.0
10.0,61313.0
80.0,1329400.0
100.0,1581700.0
400.0,3330900.0
400.0,3301400.0
180.0,2314600.0
700.0,3898800.0
180.0,2292000.0
30.0,453400.0
30.0,453580.0
300.0,2834100.0
10.0,61238.0
40.0,657890.0
10.0,36420.0
100.0,1603100.0
50.0,838340.0
400.0,3266900.0
700.0,3845400.0
600.0,3763800.0
80.0,1333800.0
600.0,3761500.0
180.0,2337900.0
30.0,456770.0
400.0,3275800.0
40.0,657590.0
600.0,3711400.0
400.0,3339000.0
80.0,1319600.0
40.0,655170.0
300.0,2992200.0
500.0,3551700.0
30.0,453860.0
1000.0,4187500.0
80.0,1308000.0
50.0,852410.0
500.0,3579700.0
80.0,1338600.0
100.0,1588800.0
150.0,2099600.0
40.0,658890.0
70.0,1155000.0
10.0,60344.0
400.0,3266000.0
60.0,1023600.0
90.0,1466100.0
60.0,998800.0
40.0,658820.0
700.0,3893500.0
700.0,3916000.0
400.0,3327800.0
800.0,3958300.0
1000.0,4155400.0
400.0,3320900.0
10.0,59213.0
800.0,3999900.0
200.0,2467900.0
200.0,2498200.0
900.0,4132600.0
70.0,1166600.0
20.0,242980.0
800.0,4022500.0
60.0,1025400.0
120.0,1789000.0
60.0,1022200.0
500.0,3582200.0
120.0,1814100.0
60.0,1025000.0
800.0,4019000.0
70.0,1184100.0
80.0,722240.0
200.0,2454400.0
100.0,1424700.0
120.0,1602400.0
60.0,968630.0
150.0,2071800.0
700.0,3859100.0
80.0,1332400.0
300.0,3025300.0
30.0,446190.0
900.0,4109800.0
60.0,1008100.0
180.0,2181900.0
30.0,453640.0
200.0,2498500.0
200.0,2446700.0
50.0,844080.0
500.0,3582000.0
900.0,4102800.0
60.0,1026400.0
900.0,4131000.0
1000.0,4161900.0
400.0,3321000.0
600.0,3775400.0
800.0,3919300.0
900.0,4135300.0
90.0,1461300.0
180.0,2351600.0
400.0,3356000.0
100.0,1593000.0
500.0,3574800.0
90.0,1463600.0
300.0,2990000.0
20.0,241790.0
40.0,657260.0
150.0,2086800.0
300.0,2974600.0
800.0,4012200.0
70.0,1179200.0
800.0,4066100.0
30.0,453110.0
900.0,4098600.0
40.0,649610.0
30.0,446570.0
180.0,2344600.0
100.0,1581900.0
600.0,3750700.0
70.0,1187200.0
50.0,851310.0
600.0,3779900.0
120.0,1793700.0
1000.0,4198600.0
40.0,658840.0
1000.0,4200300.0
700.0,3906200.0
300.0,2920800.0
50.0,849850.0
400.0,3302800.0
30.0,450260.0
300.0,2942700.0
900.0,4174100.0
500.0,3550400.0
80.0,1325100.0
800.0,3900800.0
300.0,2951800.0
600.0,3730300.0
800.0,4041600.0
1000.0,4238900.0
90.0,1458900.0
60.0,1016400.0
500.0,3600400.0
900.0,4101200.0
10.0,45835.0
200.0,2473200.0
200.0,2477500.0
500.0,3535900.0
70.0,1175000.0
180.0,2360100.0
90.0,1459300.0
10.0,61793.0
10.0,61681.0
80.0,1329900.0
80.0,1341100.0
180.0,2326500.0
60.0,1017700.0
40.0,655880.0
150.0,2095400.0
40.0,657050.0
900.0,4121500.0
900.0,4109200.0
20.0,231230.0
100.0,1580800.0
700.0,3838300.0
700.0,3933400.0
40.0,602870.0
500.0,3571800.0
30.0,427810.0
300.0,2981000.0
600.0,3760100.0
90.0,1465100.0
70.0,1187300.0
40.0,661540.0
500.0,3570500.0
30.0,455580.0
300.0,2991700.0
1000.0,4221200.0
200.0,2479900.0
30.0,452330.0
300.0,3008100.0
20.0,244100.0
900.0,4116900.0
100.0,1595700.0
900.0,4116000.0
10.0,61246.0
30.0,451290.0
700.0,3867400.0
100.0,1581100.0
100.0,1563300.0
80.0,1322200.0
20.0,240630.0
20.0,242010.0
500.0,3504400.0
90.0,1470600.0
80.0,1324400.0
70.0,1188800.0
40.0,649580.0
150.0,2119300.0
500.0,3591800.0
20.0,242890.0
600.0,3698200.0
300.0,3002000.0
20.0,243300.0
40.0,657860.0
700.0,3888700.0
120.0,1789000.0
30.0,453710.0
800.0,3975400.0
800.0,3986000.0
30.0,455710.0
40.0,660150.0
150.0,2085100.0
30.0,455430.0
60.0,1016900.0
20.0,243790.0
600.0,3751000.0
80.0,702700.0
300.0,2949500.0
800.0,4027200.0
700.0,3936300.0
400.0,3308800.0
40.0,655500.0
700.0,3918600.0
20.0,243270.0
400.0,3345300.0
600.0,3677300.0
150.0,2110300.0
300.0,2986000.0
100.0,1576300.0
80.0,1317800.0
100.0,1584600.0
1000.0,4181500.0
700.0,3908600.0
30.0,296590.0
900.0,4091400.0
300.0,2930800.0
100.0,1575600.0
120.0,1813600.0
400.0,3316800.0
10.0,61738.0
300.0,2963100.0
200.0,2432700.0
60.0,979370.0
60.0,1012000.0
900.0,4131200.0
30.0,453750.0
200.0,2464200.0
300.0,3011000.0
50.0,795620.0
40.0,659900.0
70.0,1188700.0
200.0,2467400.0
20.0,243900.0
90.0,1444200.0
200.0,2460700.0
300.0,2765200.0
180.0,2311200.0
600.0,3781500.0
80.0,1320000.0
10.0,61344.0
70.0,1187900.0
600.0,3772300.0
800.0,4067100.0
40.0,658210.0
700.0,3837400.0
120.0,1825700.0
800.0,3988600.0
200.0,2475400.0
400.0,3331700.0
700.0,3910200.0
600.0,3733700.0
900.0,4072300.0
700.0,3925600.0
20.0,243530.0
800.0,4017600.0
400.0,3320900.0
50.0,840870.0
200.0,2467000.0
200.0,2485000.0
1000.0,4221700.0
10.0,59926.0
800.0,4013900.0
300.0,2979000.0
150.0,2112800.0
40.0,592670.0
180.0,2337200.0
60.0,1024800.0
700.0,3886000.0
90.0,1473500.0
90.0,1473900.0
600.0,3735500.0
80.0,1324000.0
30.0,439710.0
200.0,2470000.0
1000.0,4111000.0
80.0,1332000.0
200.0,2492700.0
900.0,4041300.0
40.0,662170.0
80.0,1324900.0
1000.0,4217800.0
300.0,2982800.0
30.0,443960.0
80.0,1323500.0
50.0,852380.0
700.0,3846600.0
1000.0,4196300.0
90.0,1468500.0
900.0,4045300.0
700.0,3895700.0
400.0,3286100.0
600.0,3730900.0
150.0,2090000.0
40.0,659060.0
10.0,61556.0
30.0,455520.0
150.0,2126400.0
10.0,61588.0
300.0,2978900.0
30.0,450020.0
80.0,1326300.0
20.0,243280.0
80.0,1326100.0
150.0,2111900.0
120.0,1815500.0
900.0,4074400.0
700.0,3894900.0
120.0,1816600.0
700.0,3919200.0
900.0,4145100.0
800.0,4012900.0
300.0,2966900.0
150.0,2108100.0
600.0,3720300.0
300.0,2998900.0
150.0,2094200.0
90.0,1471600.0
40.0,658900.0
300.0,2884000.0
80.0,1339500.0
50.0,851580.0
700.0,3880200.0
100.0,1511100.0
300.0,2970200.0
90.0,1354800.0
300.0,2983200.0
150.0,2093500.0
70.0,1160600.0
500.0,3599800.0
120.0,1816600.0
400.0,3294700.0
100.0,1593000.0
60.0,1029500.0
600.0,3726000.0
50.0,847420.0
120.0,1813100.0
40.0,655310.0
10.0,61489.0
100.0,1569500.0
600.0,3717700.0
400.0,3345800.0
40.0,578780.0
20.0,242900.0
80.0,1305500.0
90.0,1267700.0
120.0,1831400.0
900.0,4080100.0
10.0,61501.0
800.0,3991900.0
90.0,1464300.0
200.0,2480000.0
200.0,2494200.0
500.0,3574600.0
100.0,1587100.0
400.0,3358900.0
600.0,3751600.0
20.0,242630.0
180.0,2289600.0
400.0,3343100.0
700.0,3877700.0
500.0,3543300.0
500.0,3560600.0
600.0,3732900.0
50.0,844570.0
400.0,3336600.0
60.0,1023900.0
900.0,4118000.0
500.0,3539900.0
60.0,1016900.0
1000.0,4147300.0
150.0,2090600.0
100.0,1575600.0
60.0,1025700.0
60.0,1023400.0
120.0,1816800.0
800.0,4017400.0
900.0,4051800.0
200.0,2484600.0
800.0,4019800.0
900.0,4062400.0
50.0,848110.0
10.0,61718.0
60.0,1023800.0
90.0,1469700.0
150.0,2094600.0
1000.0,4060600.0
300.0,2993200.0
300.0,2953400.0
